Title,Company,Location,URL,Description
Data Analyst,Hakuhodo Digital Indonesia,"Duri Selatan, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-hakuhodo-digital-indonesia-3551266475?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=nmwNlxeMoDyq4zmnetySrg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 Hakuhodo Digital Indonesia , part of Hakuhodo International Indonesia a full service Digital Marketing Agency expertise in digital insight, strategy, design, development, and social media marketing. We are data driven and adapt to changes to create a full engaging experiences for our Client’s audiences. Visit our page! Website  LinkedIn  Job Description Developing complex data analysis, methodologies, and predictive data models  Conduct detailed data analysis on data used across business units to evaluate business processes and improve on/create new feature  Respond to data and product related inquiries in real-time to support business and technical teams  Provide relational database expertise to construct and execute SQL queries to be used in data analysis activities  Managing and designing the reporting environment, including data sources, security, and metadata  Providing technical expertise in data storage structures, data mining, and data cleansing  Requirements Minimum 3 years of work experience as a data analyst or in a related field Preferably from Digital Agency  Must be able to work well under pressure and achieve results within the scheduled time-framey  Ability to work using Tableu (is a must) and python  Ability to analyze existing tools and databases and provide software solution recommendations  Ability to analyze existing tools and databases and provide software solution recommendations  High-level experience in methodologies and processes for managing large-scale databases  Ability to work with stakeholders to assess potential risks  Powered by JazzHR NssiHLfXNQ
      "
Data Analyst,Accelist Lentera Indonesia,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-accelist-lentera-indonesia-3518014104?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=hrj9nJ9%2FqnagIFmXyetiEw%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 Specific Requirement S1 Matematika / Teknologi Informasi  Level : Middle/Senior Job Description Melakukan ekstraksi data dari berbagai sumber ke berbagai format (database, BI Tools, Excel, etc) Mendesain dan implementasi database Membuat report dengan visualisasi yang sesuai untuk mengakomodir kebutuhan informasi user internal maupun eskternal Melakukan identifikasi, analisa, dan interpretasi data Menghasilkan indight yang bermanfaat bagi bisnis Mempresentasikan hasil analisa dan temuan Technical Skill Berpengalaman menggunakan Office, SQL, SQL Server, I Tools (Microstrategy, Power BI, Tableau, etc), dan software statistika Terbiasa melakukan query, pembuatan report, dan presentasi Berpengalaman dengan tools big data menjadi nilai plus 
"
Data Analyst,Populix,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-populix-3544432540?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=edkF%2FfzXKn%2BilvxTwiq%2BrQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,
Data Analyst,Manajemen Pelaksana Program Kartu Prakerja,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-manajemen-pelaksana-program-kartu-prakerja-3517213483?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=vox8ByTzrlXmq6zLLOFHsg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        We are looking for a passionate Data Analyst. The successful candidate will turn data into information, information into insight and insight into business decisions. Data analyst responsibilities include conducting full lifecycle analysis to include requirements, activities and design. Analyze data using statistical techniques to drive optimization and improvement of product development and business strategies Work with stakeholders to determine business objectives Develop analytics report and visualization to gather insight for our business Requirements Bachelor's Degree In Statistic/Mathematics/Computer Sience or another quantitative field Minimum 1 year experience in Data field is a must Have strong analitycal Thinking Comfortable in writing SQL queri is a must Experience with phyton or R is a plus Benefits Working with the biggest Innovation Public Services in Indonesia Working on the product used by 100 Millions of people in Indonesia from 514 city and district Working hybrid (WHF and WFO) For more about our output, outcome, and impact of Kartu Prakerja here
      "
Data Analyst,Finku,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-finku-3536203260?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=TZk7AMYLtAYDSp0lFUFvtQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 Responsibilities Develop data driven insights & narratives to identify opportunities, generate hypotheses and experiment to validate these hypotheses Co-own the business goals & lead data-led problem solving to find actionable insights and make product recommendations through funnels, cohort analysis, long-term trends, user segmentation or regression models Work with product & business teams to identify high level requirements/problems and build analytical frameworks & presentations Establish correlation & causation of different events in the user journey Build reports & dashboards that enable a more data aware organization and reflect the health of different initiatives Requirements Extensive hands-on experience with programming languages such as SQL and Python, also experience with data visualization tools like Tableau A self-starter: Drive projects with minimal guidance and focus on high-impact work Team-player and strong communicator: Effectively synthesize, visualize, and communicate ideas to others A critical thinker, self-aware, and use the available data to make decisions Can be empathetic towards users and mindful about business objectives at the same time 
"
Data Analyst (APAC),Cadmus,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-apac-at-cadmus-3505887930?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=HavryVLmztsIvtzqasv55g%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 Equal Access to High-Quality Education Moves Our World Forward Meet Cadmus! At Cadmus, we believe every student should have equal opportunity to achieve academic excellence; that’s why we’re changing how the world learns! Cadmus is a global EdTech company purposefully built for the higher education sector to break down global learning barriers by providing educators and diverse student cohorts with access to high-quality learning and assessment. Built on rich, student-centric values, Cadmus empowers individuals to achieve their highest potential and graduate with the critical skills and knowledge to profoundly impact our workforces, communities, and evolving world. A Bold Plan for Global Impact At Cadmus, we’re working hard in pursuit of an ambitious, world-shaping goal: to provide 1 billion students with access to high-quality education by 2050. That’s why we need a talented  Data  Analyst  to join our team and help us achieve our strategic goals. Requirements At Cadmus, we’re doing a lot of great work rapidly to create a profound impact on our world through the power of education. With Cadmus currently being used in 50+ countries, we’re looking for a  Data  Analyst  who is passionate about helping us achieve business goals through efficient and effective solutions that align with our overall business strategy. Reporting to the Chief Operating Officer, our  Data Analyst  will: Collect and clean various sources of data to ensure it is accurate, complete, and consistent; ensuring data quality issues are quickly identified and corrected.  Analyse and interpret data to identify trends, patterns, and insights; using statistical analysis, data visualisation, and machine learning techniques to support decision-making. Develop and maintain dashboards and reports to communicate data insights to stakeholders that are easy to understand and actionable. Identify opportunities for improvement in business processes and operations by analysing data to identify areas of inefficiency, waste, and improvement. Make data-driven recommendations to stakeholders by using data insights to inform decision-making and support strategic planning. Professional Experiences: You have 5+ years of experience working in the field of Technology or Education-Technology at a leading global technology provider, unicorn or startup. Bachelor's and Master's degrees in a related field such as Computer Science, Engineering, Mathematics, Statistics, or Economics to provide a strong foundation in statistical analysis, data modelling, and programming. Experience with data analysis, having worked with large and complex datasets, including data cleaning, data manipulation, statistical analysis, and data visualisation.  Knowledge of software architecture including database design, data warehousing, and data integration so that they understand the underlying structure of the software and how data flows through the system. Experience using cloud technologies such as Amazon Web Services (AWS) to store and process data and using these technologies to set up data pipelines, configure cloud-based storage, and manage data security. Experience solving complex data problems by identifying issues, developing hypotheses, and testing them using data analysis. Professional Skills: Data analysis: the ability to analyse large and complex data sets to identify patterns, trends, and insights; clean and manipulate data, perform statistical analysis, and use data visualisation tools to communicate findings. Technical skills: the ability to proficiently use programming languages such as Python, SQL, or R and data analysis tools such as Excel, Tableau, and Power BI. Problem-solving: the ability to identify and solve complex problems using data analysis by asking the right questions, developing hypotheses, and testing them using data. Communication: the ability to communicate in English effectively with both technical and non-technical stakeholders by presenting data findings in a clear and concise manner, and translating technical information into business insights. Critical thinking: the ability to think critically and use logic and reasoning to identify the strengths and weaknesses of different data solutions or approaches. Benefits A remote-friendly, flexible working culture; where you can work from any global location. Learning allowances; because we don’t just have words on a website, we genuinely do what we say and provide educational opportunities to all (including the Cadmus team). A diverse and inclusive workplace where there are no barriers to anyone succeeding. A surrounding team of mission-driven individuals who genuinely love what they do. Equity incentives; that way, we all share in the success of Cadmus. Mentoring and succession planning for your career. Virtual pats from Homer, our resident (and super cute) dog! This role is open to remote candidates based in Indonesia. Hiring Process Please apply online with your resume, and instead of a cover letter, we would love you to answer a few questions. We shall review your application, and if you are successful, we will invite you to participate in our interview process. If you are unsuccessful, we will let you know why and try our best to help you fill in any gaps. Our interview process consists of a video interview, a hiring manager interview, a homework task and a panel interview. These will be completed online (via Zoom). While we review your application, get to know us by visiting cadmus.io (check out our values quiz!) and following our social channels (Linkedin, Facebook and Twitter). Inclusivity at Cadmus At Cadmus, we hire great people from a wide variety of backgrounds because it makes our company stronger. We never discriminate based on race, religion, national origin, gender identity or expression, sexual orientation, age, marital, or disability status. If you share our values and enthusiasm for education, you will find a home at Cadmus. If you need assistance or accommodations made due to a disability, please let us know.
      "
Data Analyst,UENA,Jakarta Metropolitan Area,https://id.linkedin.com/jobs/view/data-analyst-at-uena-3503651194?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=gy1GLcw8wMmo0wIyocVXIA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 Where You Will Tackle Challenges Such As Big Data, Data Management, Data Cleansing, Data Warehouse, Data Visualization, etc Using automated tools to extract data from primary and secondary sources while Performing analysis to assess quality and meaning of data Using statistical tools to identify, analyze, and interpret patterns and trends in complex data sets that could be helpful for the diagnosis and prediction Assigning numerical value to essential business functions so that business performance can be assessed and compared over periods of time. Working with programmers, engineers, and management heads to identify process improvement opportunities and propose system modifications. Preparing final analysis reports for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends.  And many more exciting challenges !
      "
Data Analyst,JALA,"Yogyakarta, Yogyakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-jala-3536199590?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=%2BYe5hjD%2BHBN6DS7e%2FH1ZnQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 Roles and Responsibility Help Jala Farm and Jala Insight team analyze and evaluate the shrimp cultivation process through data. Giving insights to support related team to do data collection, processing, and reporting. Develop and monitor credit scoring for shrimp farming. Designing and implements the data pipelines, ETL process and analytics tools. Designing AI/machine learning algorithms that are able to model, predict, and identify any kind of data related to the Jala Farm and Jala Insight team. Requirements Familiarity with data mining and data modelling Able to collect and process data from any resource using SQL, R/Python or other scripting and statistics tools. Having experience in data analytics. Having experience in AWS technology is a plus. Having experience in using machine learning frameworks. Having experience in statistical analysis (ex: hypothetical test, experimentations, regression) and familiar with statistics tools (Matlab, R, SAS, or Python). Having experience/porto in credit scoring cases is a plus. 
"
Data Analyst,Amar Bank,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-amar-bank-3488672357?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=GHlZZPAH53dzhbxlBXX04w%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Who are we? Amar Bank is one of the most technologically advanced digital banks in Indonesia. Our leading digital lending product, Tunaiku has the distinction of being the first FinTech product in Indonesia. We are also the first digital bank on the cloud. As the first profitable digital bank, we managed to get listed on the Indonesian Stock Exchange. How did we manage to do that? We are changing people’s perception of a bank. We believe we are the innovators who combine customer focus principles with creating technology-based impact. We incorporate freedom and flexibility as part of our startup working culture DNA to encourage innovation in creating better financial solutions for the banking industry. We think of ourselves as, ‘A technology company with a banking license’. For this reason, we ‘Act like a FinTech, and think like a Bank.’ How did it all start? Founded on March 15, 1991, in Surabaya as PT Anglomas International Bank (Amin Bank), the bank was acquired by Tolaram Group and transformed to PT Bank Amar Indonesia (Amar Bank) in 2014. It has then undergone a significant digital transformation to become one of the country's forerunning fintech institutions through its award-winning digital lending platform, Tunaiku. Our philosophy, mission, and vision Technology must impact lives, must improve lives. We exist to provide banking to those who ‘need’ and not only to those who ‘want’. Services when provided to those who need at the time of their need brings smiles. Our vision is to bring 200 million smiles. More about the bank with startup culture environment Consist of 1000+ people, you will meet people who love to grow, dream big, and actually have fun at the workplace! We provide a great working environment that pushes people to grow outside their comfort zone. People with high drive and ambition find us a very attractive place to work as their career growth matches their own drive and not any staid policies. Thus we hold the honor of being awarded “Best Place to Work in Indonesia”. Recently Amar Bank was awarded as Inspirational Brand from APEA (Asia Pacific Enterprise Awards) 2022. Of course, our innovation won't stop here. So if you would love to be a part of it, have a growth mindset, and are constantly hungry for challenges, we invite you to join us in our journey to ‘Impact Lives’. Join us today and create #unlimitedinnovations! About Our Team We exist to innovate and maintain the architecture of Amar Bank's products. As part of our main focus to create through technology we ensure the process and technology we use helps maintain and build human connection at scale. It’s our job to plan, monitor, and control the technology growth so we can provide a faster, more convenient, and more efficient way of performing business transactions. if you are interested in data and want to deep understanding and explore patterns about data, find insight to make decision based on data and customer focus, this role is your passion, you will get insight lending and product decision from our big data platform. You will visualize and present your data science solution to stakeholders, and decide with stakeholders what decision will be do. Responsibilities Provide analysis to measure impact of new feature, business flow, campaign and present the result in visual way to make data storytelling easier Create new & manage automated report/dashboard based on requirement defined by Stakeholders to ensure Stakeholders consume correct and latest data Create new & manage Data Mart to make work easier & faster Ensure correctness of data by collaborate with Data Engineer to maintain data quality aspect Become strategic partner with Stakeholders from various background by advising new metrics, data source, visualization and other analytical methods for better data-based decisions Aware of beside high accuracy, speed delivery of task as important as well Stay up-to-date with data and analytics trend Requirements Have experience related with Data (Data Analyst, Data Scientist, Business Intelligence, Business Analyst, Product Analyst, etc) at least 1-2 years Can create user-friendly and insightful dashboard/report using one of various BI Tools (Eg: Tableau, Power BI, Google Data Studio, etc) Mastering SQL to collect & manipulating data and have knowledge of Unstructured Data (Eg: JSON) Have experience to provide analysis (Descriptive/Diagnostic/Predictive/Prescriptive) with help of analytics tools (Eg: Big Query, Python, R, SPSS, etc) Have knowledge of Data Mining concepts (Eg: Statistics, Machine Learning, Forecasting, etc) Can explain of own project which he/she worked on using great storytelling skill Comfortable working with million rows of data Thinks out of the box to propose and implement an alternative solution if needed Good intrapersonal skills to collaborate within/across function Self driven, high curiosity, problem solving mindset, and very detail-oriented Bonus point if Have experience using Google Big Query Have experience to explore data from 3rd party platforms (eg : Web & Mobile Analytics Platform, Marketing Attribution Platform, API logging platform, etc) Have best practices to build Data Mart We exist to innovate and maintain the architecture of Amar Bank's products. As part of our main focus to create through technology we ensure the process and technology we use helps maintain and build human connection at scale. It’s our job to plan, monitor, and control the technology growth so we can provide a faster, more convenient, and more efficient way of performing business transactions.
      "
Data Analyst,JALA,"Sleman, Yogyakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-at-jala-3504452389?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=5ha21HovF0PIYRIKQiGZOQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,
Data Analyst (Remote),Campaign.com,"Jakarta, Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-remote-at-campaign-com-3544997280?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=9%2FqPu8Ixt%2F%2F%2BTpxnUNTsIQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,"
        Introduction: Campaign.com is the Indonesian-based social startup responsible for Google Play’s Indonesia Best App for Good 2020. We are looking for a passionate and dedicated Data Analyst who is ready to interpret our data and turn it into meaningful results that can help our team increase the engagement of our users taking social action in our Campaign #ForChange app to make our world a better place! You would be expected to work together with a team to proactively turn our raw data into actionable insights. Through the gathering of information from various sources, you can also interpret patterns and trends that would influence our company direction and product development. Applicants should also be curious and research different methods and ways to obtain and analyse data so as to improve the quality and the efficiency of our reports. The ideal candidate has a strong passion for social issues and a strong track record of working in a full remote team. The ideal candidate is also an effective communicator and highly adaptable to a full remote working environment. Job Description: Collecting and interpreting data Analyzing data using statistical techniques  Identifying patterns and trends in data sets and creating recommendations based on it Reporting the results back for the stakeholders to understand the data-analysis steps, enabling them to take important decisions based on various facts and trends. Working alongside teams to establish operational needs Defining new data collection, analysis processes and predictions using relevant data Job Requirements: Minimum 3 years of experience in the same position Ability to analyze, model, interpret and communicate the data Knowing data report using GA4 is a plus Experienced in data models and reporting packages Proficient in Excel or Google Sheets tools and query language such as SQL. Able to use dashboard tools (e.g. Google Data Studio) and analytics languages (e.g. Python) are advantageous. Strong verbal and written communication skills An analytical mind and inclination for problem-solving Attention to detail with a methodical and logical approach to work Good time management and able to meet deadlines Able to encourage the data-driven work environment in various decision making Degree or educational background in one or more of the following subjects is preferred : Data Analytics, Mathematics, Computer Science, Statistics and / or Economics Please note that this is a full remote position.
      "
Data Analyst - Antifraud,Amar Bank,"Jakarta, Indonesia",https://id.linkedin.com/jobs/view/data-analyst-antifraud-at-amar-bank-3539644848?refId=pIwBqpW6W8mtIaG5oWZR9Q%3D%3D&trackingId=NTzgavVXRICg7KoM10mF1g%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,"
 About the position: As a part of the Data Analyst team, you will collaborate with our Stakeholders to solve the problems with providing data & analytics solutions. You will play an essential role in the success of creating a data culture in the company by ensuring our Stakeholders can produce data-based decisions. If you are detail oriented and love to work with millions of data, this role can give you the chance to fully develop not only in technical aspects, but business & product acumen as well. Responsibilities: Provide analysis to measure impact of new feature, business flow, campaign and present the result in visual way to make data storytelling easier Create new & manage automated report/dashboard based on requirement defined by Stakeholders to ensure Stakeholders consume correct and latest data Create new & manage Data Mart to make work easier & faster Ensure correctness of data by collaborate with Data Engineer to maintain data quality aspect Become strategic partner with Stakeholders from various background by advising new metrics, data source, visualization and other analytical methods for better data-based decisions Aware of beside high accuracy, speed delivery of task as important as well Stay up-to-date with data and analytics trend Requirements: Have experience related with Data (Data Analyst, Data Scientist, Business Intelligence, Business Analyst, Product Analyst, etc) at least 1-2 years Can create user-friendly and insightful dashboard/report using one of various BI Tools (Eg: Tableau, Power BI, Google Data Studio, etc) Mastering SQL to collect & manipulating data and have knowledge of Unstructured Data (Eg: JSON) Have experience to provide analysis (Descriptive/Diagnostic/Predictive/Prescriptive) with help of analytics tools (Eg: Big Query, Python, R, SPSS, etc) Have knowledge of Data Mining concepts (Eg: Statistics, Machine Learning, Forecasting, etc) Can explain of own project which he/she worked on using great storytelling skill Comfortable working with million rows of data Thinks out of the box to propose and implement an alternative solution if needed Good intrapersonal skills to collaborate within/across function Self driven, high curiosity, problem solving mindset, and very detail-oriented Bonus point if: Experience in using Google BigQuery and Looker 
"
